Massage Therapy,Pregnancy Massage,"Nurturing full body massage for moms to be!  Using safe and effective pre-natal techniques, this massage will help with dehydrated skin, exhaustion, and puffy hands and feet.  Special attention to easing lower back discomfort.",50 Minutes,$60.00 
Massage Therapy,Signature Four-Handed Massage ,"Two therapists working simultaneously perform  a seamlessly choreographed full body Swedish massage and scalp massage that will induce deep relaxation and feeling of well-being.",60 Minutes,$130.00
Massage Therapy,Reflexology Foot Massage,"Light to moderate pressure foot massage. This remarkable ancient technique massages the reflex zones of the feet inducing deep relaxation to the entire body by releasing the flow of energy. Not only will your feet feel terrific, you will experience increased energy.",20 Minutes,$35.00
Eyelash Extensions,Full Set,,,$200-$250
Eyelash Extensions,1 week relash,,,$35.00+
Eyelash Extensions,2 week relash,,,$75.00+
Eyelash Extensions,3 week relash,,,$95.00+
Eyelash Extensions,Colored Lashes,,,$3 each
Eyelash Extensions,Lash Jewels,,,$5 each
Body Treatments,Warmed Therapeutic Mud Wrap,"Various purifying elements are combined to produce a mud wrap rich in potent anti-oxidants, minerals and enhanced with organic spices.  Guests will love the immediate effects on the skin, including firming and toning.  A natural anti-aging boost, serious detoxifier, and metabolism stimulator.",50 Minutes,$85.00
Body Treatments,'Skinny' Wrap,"This results driven wrap combines dry body brushing, deep tissue and lymphatic massage to lift, tighten and tone your hips and thighs.  Powerful actives stimulate circulation and add mega moisture to tighten and firm.  Best results in a weekly series of 3-6.",50 Minutes,$85.00
Body Treatments,,,Series of Three,$265.00
Body Treatments,,,Series of Six,$450.00
Body Treatments,Lavender Sugar Glow Wrap,"This treatment uses a medley of ingredients including, lavender and organic sugar to invigorate, exfoliate and nourish the skin.  Afterwards, you enjoy a therapeutic shower and brief, relaxing massage with essential oil infused, hydrating lotion.  This aromatic body sugar scrub melts tired muscles while soothing and softening the skin.",50 Minutes,$85.00
